Gx	Gy	Gz	Gyrox	Gyroy	Gyroz
 0.001	-0.018	 1.091	 0.229	 0.839	 0.603
-0.003	-0.013	 1.087	 0.175	 0.839	 0.565
 0.006	-0.001	 1.094	 0.183	 0.923	 0.557
 0.010	-0.004	 1.086	 0.229	 0.946	 0.557
 0.003	-0.004	 1.078	 0.160	 0.854	 0.534
-0.001	-0.014	 1.070	 0.160	 0.832	 0.534
 0.004	-0.008	 1.083	 0.214	 0.862	 0.587
 0.007	-0.007	 1.093	 0.229	 0.870	 0.534
 0.005	-0.007	 1.093	 0.198	 0.801	 0.534
-0.002	-0.012	 1.100	 0.206	 0.786	 0.557
-0.004	-0.012	 1.108	 0.160	 0.885	 0.557
-0.006	-0.014	 1.115	 0.191	 0.961	 0.504
-0.004	-0.018	 1.115	 0.214	 0.931	 0.450
-0.001	-0.017	 1.110	 0.137	 0.893	 0.412
-0.008	-0.015	 1.113	 0.122	 0.893	 0.481
-0.003	-0.014	 1.109	 0.252	 0.870	 0.450
-0.005	-0.012	 1.098	 0.267	 0.832	 0.473
-0.002	-0.013	 1.095	 0.206	 0.824	 0.587
-0.004	-0.011	 1.095	 0.206	 0.832	 0.603
-0.004	-0.012	 1.097	 0.267	 0.900	 0.542
-0.005	-0.008	 1.107	 0.351	 0.938	 0.565
-0.002	-0.010	 1.110	 0.305	 0.946	 0.595
-0.005	-0.012	 1.117	 0.244	 0.862	 0.580
-0.009	-0.012	 1.110	 0.175	 0.793	 0.511
 0.002	-0.016	 1.104	 0.244	 0.755	 0.496
 0.008	-0.012	 1.092	 0.237	 0.832	 0.572
 0.004	-0.010	 1.090	 0.214	 0.877	 0.580
 0.006	-0.008	 1.092	 0.198	 0.824	 0.496
 0.001	-0.014	 1.099	 0.244	 0.839	 0.488
 0.003	-0.014	 1.097	 0.252	 0.885	 0.542
 0.001	-0.018	 1.099	 0.168	 0.893	 0.572
 0.000	-0.014	 1.096	 0.198	 0.893	 0.580
-0.001	-0.013	 1.096	 0.214	 0.900	 0.595
-0.002	-0.016	 1.105	 0.221	 0.847	 0.542
 0.001	-0.015	 1.114	 0.137	 0.862	 0.557
-0.001	-0.015	 1.108	 0.122	 0.885	 0.603
 0.000	-0.014	 1.113	 0.160	 0.908	 0.595
 0.001	-0.015	 1.107	 0.290	 0.793	 0.458
 0.003	-0.011	 1.098	 0.252	 0.832	 0.397
 0.004	-0.013	 1.096	 0.298	 0.908	 0.412
 0.003	-0.011	 1.098	 0.237	 0.908	 0.488
 0.003	-0.012	 1.109	 0.229	 0.839	 0.580
 0.009	-0.016	 1.104	 0.290	 0.870	 0.641
-0.001	-0.011	 1.102	 0.282	 0.832	 0.549
 0.001	-0.016	 1.102	 0.298	 0.816	 0.504
